Place,Crop_Name,Year,Area_Planted,Total_production,Rainfall,Humidity,Temperature,Pesticides,Soil_ph,N,P,K
Gwanda,Maize,1990,2876,36613,1485,82.00274423,21,121,6.502985292,90,42,43
Gwanda,Potatoes,1990,2354,66667,1485,80.31964408,22,121,7.038096361,85,58,41
Gwanda,"Rice, paddy",1990,178,23333,1485,82.3207629,23,121,7.840207144,60,55,44
Gwanda,Sorghum,1990,2208,12500,1485,80.15836264,26,121,6.980400905,74,35,40
Gwanda,Soybeans,1990,359,7000,1485,81.60487287,20,121,7.628472891,78,42,42
Gwanda,Wheat,1990,319,30197,1485,83.37011772,23,121,7.073453503,69,37,42
Gwanda,Maize,1991,252,29068,1485,82.63941394,23,121,5.70080568,69,55,38
Gwanda,Potatoes,1991,342,77818,1485,82.89408619,20,121,5.718627178,94,53,40
Gwanda,"Rice, paddy",1991,404,28538,1485,83.5352163,25,121,6.685346424,89,54,38
Gwanda,Sorghum,1991,84,6667,1485,83.03322691,23,121,6.336253525,68,58,38
Gwanda,Soybeans,1991,645,6066,1485,81.41753846,27,121,5.386167788,91,53,40
Gwanda,Wheat,1991,46,20698,1485,81.45061596,24,121,7.50283396,90,46,42
Gwanda,Maize,1992,250,24876,1485,80.88684822,27,121,5.108681786,78,58,44
Gwanda,Potatoes,1992,126,82920,1485,82.05687182,24,121,6.98435366,93,56,36
Gwanda,"Rice, paddy",1992,160,40000,1485,80.66385045,26,121,6.94801983,94,50,37
Gwanda,Sorghum,1992,362,3747,1485,80.30025587,24,121,7.042299069,60,48,39
Gwanda,Soybeans,1992,39,4507,1485,82.7883708,22,121,6.249050656,85,38,41
Gwanda,Wheat,1992,134,24388,1485,80.41817957,24,121,6.970859754,91,35,39
Gwanda,Maize,1993,1492,24185,1485,80.1923008,22,121,5.953933276,77,38,36
Gwanda,Potatoes,1993,436,98446,1485,83.58760316,24,121,5.85393208,88,35,40
Gwanda,"Rice, paddy",1993,78,41786,1485,80.47476396,21,121,6.442475375,89,45,36
Gwanda,Soybeans,1993,237,7998,1485,83.11713476,25,121,5.070175667,76,40,43
Gwanda,Wheat,1993,113,29976,1485,80.97384195,22,121,6.012632591,67,59,41
Gwanda,Maize,1994,87,25848,1485,82.67839517,21,201,6.254028451,83,41,43
Gwanda,Potatoes,1994,73,81404,1485,81.33265073,23,201,7.375482851,98,47,37
Gwanda,Soybeans,1994,17,7927,1485,80.52389148,25,201,7.778915154,66,53,41
Gwanda,Wheat,1994,84,24745,1485,84.04403589,26,201,6.286500176,97,59,43
Gwanda,Maize,1995,119,31300,1485,80.54498576,25,251,7.070959995,97,50,41
Gwanda,Potatoes,1995,125,111323,1485,84.49774397,21,251,6.244841491,60,49,44
Gwanda,Soybeans,1995,6,11791,1485,80.64416466,22,251,6.043304899,84,51,35
Gwanda,Wheat,1995,239,28703,1485,84.94375962,21,251,5.824709117,73,57,41
Gwanda,Maize,1996,212,32604,1485,80.33127223,22,313.96,6.357389366,92,35,40
Gwanda,Potatoes,1996,932,106138,1485,82.73685569,25,313.96,6.364134968,85,37,39
Gwanda,Soybeans,1996,347,15480,1485,81.63895217,20,313.96,5.01450727,98,53,38
Gwanda,Wheat,1996,213,21741,1485,83.88266234,26,313.96,6.149410611,88,54,44
Gwanda,Maize,1997,2860,31862,1485,82.1480873,27,376.93,5.950660556,95,55,42
Gwanda,Potatoes,1997,1622,109874,1485,81.17734011,27,376.93,5.960370061,99,57,35
Gwanda,Soybeans,1997,479,12768,1485,83.15250801,24,376.93,5.561398642,95,39,36
Gwanda,Wheat,1997,1512,28516,1485,82.95221726,21,376.93,7.416245107,60,43,44
Gwanda,Maize,1998,998,33416,1485,83.7287574,24,439.89,5.583370042,63,44,41
Gwanda,Potatoes,1998,1322,127212,1485,82.06719137,23,439.89,6.430010215,62,42,36
Gwanda,Soybeans,1998,246,14327,1485,83.52842314,26,439.89,5.534878156,64,45,43
